Skill Vec,Domain of Interest
enforcechimneysweepingqualitystandards consultation calculateriggingplots managedatabase issuedrillinginstructions,Software Development
leatherfinishingtechnologies performroutinemaintenanceonrailwayengines maintainvesselsteeringmechanisms shapecandles createmusicalstructures,Customer Service
conductchemicaltestingonbasicmetals ensureregulatorycomplianceconcerningdistributionactivities maintaineventrecords inspectundergroundpowercables facilitatethehealingprocessrelatedtosexualassault,Academic Research
socio-economictrendsinyoursector tramnetwork constructionproductregulation establishanictcustomersupportprocess monitorthevalidityofshipcertificates,International Trade Compliance
tramnetwork workwithplaywrights buyadvertisingspace usegeographicinformationsystems obstetricsandgynaecology,Textile Technology
provideanimaltraining batteryformation morphology fooddehydrationprocesses estimateprofitability,Environmental Compliance
electroplatingprocesses teachwindsurfing maintainpoolcleanliness analysetotereports analysemembership,Industrial Machinery Operation
plotlightingstates carryoutmakeoverforcustomers monitordevelopmentsusedforfoodindustry carrypickingworkaids usecarbonsheets,Financial Services
field-programmablegatearrays preparewickermaterialforweaving assemblemanufacturedpipelineparts workinmetalmanufactureteams honeyconstituents,Agriculture and Animal Husbandry
monitorcompliancewithlicensingagreements applyregulationsregardingthesaleofalcoholicbeverages monitorartworkmarket administertreatmenttoanimals teachprimaryeducationclasscontent,Logistics and Supply Chain
herpetology sewsignatures performorthopaedicexaminations collecttouristinformation managewarehouseorganisation,Academic Research
befriendlytopassengers qualityassuranceprocedures installembossingplates musictherapytheories planworkshopactivity,Software Development
operateflexographicprintingmachine localwatersoftheport maintainworkareacleanliness designcustomerexperiences developscriptbible,Logistics and Supply Chain
typesofconcretepumps coordinatemusiccomponentsofthework geodesy performcosmeticprocedures standardsforweb-basede-learning,Electromechanics
zooregulations environmentalthreats sulphurrecoveryprocesses creategisreports installirrigationsystems,Retail Management
developlong-termtreatmentcoursefordisordersintheglandularsystem provideartscoachingsessions managevenueprogramme testoilsamples understandgamespecies,Restoration and Craftsmanship
manageresourcesforeducationalpurposes putuncutrecordingsintocomputer advisecustomersonclocks emergencycases assembleperformanceequipment,Mechanical Engineering
microchipscanners allergology lams stacktimber usedoctorblade,Food Manufacturing
prepareyouthsforadulthood inspectseweragesystems managedatabase promotepublictransport biometrics,Financial Services
interpret3dplans analysecommunityneeds assessyourcompetenciesinleadingcommunityarts operatedragline analysenetworkconfigurationandperformance,Electromechanics
typesofessentialoils managecadastre performvesselmaintenanceandcleaning mechatronics assemblewireharnesses,Technical Arts Support
tendamusementparkbooths testdentalinstruments domoticsystems immigrationlaw evaluatevineyardproblems,Logistics and Supply Chain
ensureportioncontrol metalworkingtools manufacturingoftools organisepropertyviewing performtakeoffandlanding,Technical Arts Support
assistcustomersinselectingmusicandvideorecordings operatethesoundintherehearsalstudio polishclayproducts electricheatingsystems tendfansformachines,Software Development
operatesolarthermalenergysystemsforhotwaterandheating provideadvicetoemergencycallers promotemusic distributedledgertechnologiesvulnerabilities measurecustomerfeedback,Textile Technology
supervisedataentry heatupvacuumformingmedium liaisewithbuyerstoplanproductsforthestore operatearmouredfightingvehicles applyriskmanagementprocesses,Software Development
operatemanualplaner corporatelaw applydigitalmapping inspectprojectregulations assessthecourseofbreast-feedingperiod,Restoration and Craftsmanship
maintaindistillationequipment identifycommonaquaticspeciesdiseases internationallaw observeproducts'behaviourunderprocessingconditions communicateusingtheglobalmaritimedistressandsafetysystem,Data and IT Security
maintainterrazzo maintainpharmaceuticalrecords reportliveonline conductmusicalensembles financialanalysis,International Trade Compliance
applyproceduresandregulationsforeco-labelling leadthedentalteam performnuclearmedicineprocedures assessenvironmentalimpact workinaninternationalenvironment,Mechanical Engineering
attachliftmotorcables attenddressfittings monitorroasting workinanorganisedmanner manufacturefabricfurnishings,Footwear and Leather Production
footwearmaterials usepersonalorganizationsoftware providevisitorinformation replacefaucets providemultimediacontent,Customer Service
monitoroilrigcosts designwovenfabrics post-processoffish ensuresafetyconditionsinstoragerooms managetests,Technical Arts Support
performdemarcation colddrawingprocesses keeprecordsofworkprogress applyclinicalchiropracticcompetenciesinsport setupofficeequipment,Footwear and Leather Production
coordinateengineeringteams avoidtear-outinwoodworking developmusicalideas sophrology complywithwildlifehazardmanagementprogrammes,Animal Control and Security
evaluategeneticdata testmicroelectromechanicalsystems installlockabledevices crimpwire createtheatreworkbooks,Educational Administration
describethefinancialsituationofaregion financialmarkets raildisruptionmanagement selectvisitorroutes communicatewithexternallaboratories,Commodity Trading
followorganisationalguidelinesinthecleaningindustry bristles audiopost-production createanimalrecords dealwithpatients'anxiety,Footwear and Leather Production
interpretgeometricdimensionsandtolerances administermaterialstoteabagmachines processman-madefibres carryoutrepairsandmaintenanceofvehiclebodies observemachinefeed,Agriculture and Animal Husbandry
setcommercialstrategiesinvehicleshowroom useinternettoincreasesales usecomputer-aidedtranslation performclinicalcodingprocedures europeanpesticidelegislation,Footwear and Leather Production
observelogs directcustomerstomerchandise estimateprofitability conveyancing pharmacylaw,Financial Services
preventdomesticaccidents lotteryequipment developproductpolicies ictrecoverytechniques maintainoilfieldmachinery,Technical Arts Support
cooperateatinter-professionallevel balneotherapy encouragesocialserviceuserstopreservetheirindependenceintheirdailyactivities alkalistagesofrefiningprocessesforedibleoils managetimeintourism,Technical Arts Support
monitoraquaculturestockhealthstandards engagetheaudienceemotionally carryoutforummoderation e-commercesystems calculatecostofcovering,Social Work
managetechnicalsecuritysystems patientsafetytheories expressyourselfphysically adviseonsustainabilitysolutions useobstetricsonography,Healthcare
biologicalchemistry typesofalarmsystems operatenailgun counselonend-of-lifecare enforcechimneysweepingqualitystandards,Academic Research
electroniclocks mixpaint monitorflowofgum maintaindimmerequipment monitorsportsequipment,Social Work
implantbrachytherapytreatments manageon-boardwatersystems mixtreatingmaterials metallurgy applyacupuncture,International Trade Compliance
setupphotographicexhibitions performcalorimeteroperation adviseonsafetyimprovements adviseonminingenvironmentalissues tendtoelderlypeople,Logistics and Supply Chain
designtransportationsystems safeguardbiodiversity handlebulktransferofrawmaterial kinanthropometry sourcecolourchemicals,Food Manufacturing
operatecorrugator handleminingplantwaste maintainshellfishdepurationequipment preventfireinaperformanceenvironment putuppricetags,Production Quality Control
operatefurnituremachinery typesofcooktops transferluggage prepareoffsetprintingmachine integratedfood-energysystems,Technical Support
scientificresearchmethodology checkbottlesforpackaging designgraphics periodisation phenomenology,Industrial Machinery Operation
repairbatterycomponents setupthecontrollerofamachine gradepulp inspectsportstadium follownuclearplantsafetyprecautions,Retail Management
selectsustainabletechnologiesindesign interpretfinancialstatements preparepatientsforsurgery performpublicrelations administeroaths,Teaching
maintaincourtorder biomedicaltechniques supplymachinewithappropriatetools adheretostandardsofnationalandinternationalsafetyprogrammes operatefurnituremachinery,Teaching
electricheatingsystems ansible hotwheeldetectionsystem controlsuctionbooms calculatepurchasinglevelsofrawmaterials,Public Administration
checkstraightnessofbrick developdesignconcept usemusicaccordingtotheneedsofpatients clipsheetmetalobjectstogether maintaincontractualinformation,Animal Control and Security
developsolutionsforharmfulbehaviour maintaininventoryofairportoperations maintaininternalcommunicationsystems monitorraillayingmachine maintainelectricalequipment,Production Quality Control
aquaculturereproduction examinemortgageloandocuments preventfireinaperformanceenvironment attendparliamentplenaries maintainvehicleappearance,Financial Services
managepersonalfinances plotlightingstateswithautomatedlights fuelcelltypes documentsafetyactions modelmicroelectronics,International Trade Compliance
treatscalpconditions interpreturologydiagnostictests coolworkpiece familytherapy adviseonenvironmentalriskmanagementsystems,Food Manufacturing
footwearstitchingtechniques createinnovativedesserts adjustclothes gatherfeedbackfromemployees implementnursingcare,Healthcare
assessharvestingimpactonwildlife analysecostumesketches microoptics managepsychotherapeuticrelationships distributeprogrammesatthevenue,Commodity Trading
keeprecordsfordentalprostheses coordinateaudiosystemprogrammes roadtransportlegislation constructcanallocks teachprinciplesofarchitecturaldesign,Industrial Machinery Operation
assistinshipmaintenance operateliquidsoappumps manageacuteoncologypatients conductfostercarevisits compiledrinkspricelists,Commodity Trading
containfires handleveterinaryemergencies neuroanatomyofanimals maintaininventoryofrenteditems adapttochangesintechnologicaldevelopmentplans,Software Development
